1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5E0000002EFC6741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Aug 01 09:31:01 CDT 2015
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 01 20:31:01 CDT 2015
Total Mission Samples:  2070
Total Device Samples:  23517
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/1/15 8:31:01 PM,C,33.191
8/1/15 9:01:01 PM,C,33.066
8/1/15 9:31:01 PM,C,32.879
8/1/15 10:01:01 PM,C,32.692
8/1/15 10:31:01 PM,C,32.442
8/1/15 11:01:01 PM,C,32.13
8/1/15 11:31:01 PM,C,31.88
8/2/15 12:01:01 AM,C,31.568
8/2/15 12:31:01 AM,C,31.319
8/2/15 1:01:01 AM,C,31.006
8/2/15 1:31:01 AM,C,30.694
8/2/15 2:01:01 AM,C,30.445
8/2/15 2:31:01 AM,C,30.132
8/2/15 3:01:01 AM,C,29.82
8/2/15 3:31:01 AM,C,29.57
8/2/15 4:01:01 AM,C,29.258
8/2/15 4:31:01 AM,C,29.008
8/2/15 5:01:01 AM,C,28.696
8/2/15 5:31:01 AM,C,28.446
8/2/15 6:01:01 AM,C,28.197
8/2/15 6:31:01 AM,C,27.947
8/2/15 7:01:01 AM,C,27.634
8/2/15 7:31:01 AM,C,27.447
8/2/15 8:01:01 AM,C,27.197
8/2/15 8:31:01 AM,C,27.072
8/2/15 9:01:01 AM,C,26.947
8/2/15 9:31:01 AM,C,26.885
8/2/15 10:01:01 AM,C,26.947
8/2/15 10:31:01 AM,C,27.072
8/2/15 11:01:01 AM,C,27.259
8/2/15 11:31:01 AM,C,27.572
8/2/15 12:01:01 PM,C,27.884
8/2/15 12:31:01 PM,C,28.321
8/2/15 1:01:01 PM,C,28.759
8/2/15 1:31:01 PM,C,29.196
8/2/15 2:01:01 PM,C,29.695
8/2/15 2:31:01 PM,C,30.195
8/2/15 3:01:01 PM,C,30.694
8/2/15 3:31:01 PM,C,31.194
8/2/15 4:01:01 PM,C,31.693
8/2/15 4:31:01 PM,C,32.13
8/2/15 5:01:01 PM,C,32.504
8/2/15 5:31:01 PM,C,32.879
8/2/15 6:01:01 PM,C,33.066
8/2/15 6:31:01 PM,C,33.191
8/2/15 7:01:01 PM,C,33.315
8/2/15 7:31:01 PM,C,33.44
8/2/15 8:01:01 PM,C,33.44
8/2/15 8:31:01 PM,C,33.44
8/2/15 9:01:01 PM,C,33.315
8/2/15 9:31:01 PM,C,33.191
8/2/15 10:01:01 PM,C,33.003
8/2/15 10:31:01 PM,C,32.816
8/2/15 11:01:01 PM,C,32.567
8/2/15 11:31:01 PM,C,32.38
8/3/15 12:01:01 AM,C,32.13
8/3/15 12:31:01 AM,C,31.943
8/3/15 1:01:01 AM,C,31.693
8/3/15 1:31:01 AM,C,31.506
8/3/15 2:01:01 AM,C,31.319
8/3/15 2:31:01 AM,C,31.069
8/3/15 3:01:01 AM,C,30.882
8/3/15 3:31:01 AM,C,30.632
8/3/15 4:01:01 AM,C,30.445
8/3/15 4:31:01 AM,C,30.257
8/3/15 5:01:01 AM,C,30.07
8/3/15 5:31:01 AM,C,29.82
8/3/15 6:01:01 AM,C,29.633
8/3/15 6:31:01 AM,C,29.446
8/3/15 7:01:01 AM,C,29.258
8/3/15 7:31:01 AM,C,29.071
8/3/15 8:01:01 AM,C,28.884
8/3/15 8:31:01 AM,C,28.759
8/3/15 9:01:01 AM,C,28.634
8/3/15 9:31:01 AM,C,28.634
8/3/15 10:01:01 AM,C,28.634
8/3/15 10:31:01 AM,C,28.759
8/3/15 11:01:01 AM,C,28.946
8/3/15 11:31:01 AM,C,29.133
8/3/15 12:01:01 PM,C,29.446
8/3/15 12:31:01 PM,C,29.82
8/3/15 1:01:01 PM,C,30.132
8/3/15 1:31:01 PM,C,30.507
8/3/15 2:01:01 PM,C,30.882
8/3/15 2:31:01 PM,C,31.256
8/3/15 3:01:01 PM,C,31.631
8/3/15 3:31:01 PM,C,31.943
8/3/15 4:01:01 PM,C,32.192
8/3/15 4:31:01 PM,C,32.442
8/3/15 5:01:01 PM,C,32.629
8/3/15 5:31:01 PM,C,32.816
8/3/15 6:01:01 PM,C,32.941
8/3/15 6:31:01 PM,C,33.003
8/3/15 7:01:01 PM,C,33.066
8/3/15 7:31:01 PM,C,33.066
8/3/15 8:01:01 PM,C,33.003
8/3/15 8:31:01 PM,C,32.941
8/3/15 9:01:01 PM,C,32.754
8/3/15 9:31:01 PM,C,32.504
8/3/15 10:01:01 PM,C,32.255
8/3/15 10:31:01 PM,C,31.943
8/3/15 11:01:01 PM,C,31.631
8/3/15 11:31:01 PM,C,31.319
8/4/15 12:01:01 AM,C,31.006
8/4/15 12:31:01 AM,C,30.694
8/4/15 1:01:01 AM,C,30.382
8/4/15 1:31:01 AM,C,30.07
8/4/15 2:01:01 AM,C,29.695
8/4/15 2:31:01 AM,C,29.446
8/4/15 3:01:01 AM,C,29.133
8/4/15 3:31:01 AM,C,28.821
8/4/15 4:01:01 AM,C,28.509
8/4/15 4:31:01 AM,C,28.197
8/4/15 5:01:01 AM,C,27.884
8/4/15 5:31:01 AM,C,27.572
8/4/15 6:01:01 AM,C,27.259
8/4/15 6:31:01 AM,C,27.01
8/4/15 7:01:01 AM,C,26.697
8/4/15 7:31:01 AM,C,26.447
8/4/15 8:01:01 AM,C,26.197
8/4/15 8:31:01 AM,C,26.01
8/4/15 9:01:01 AM,C,25.885
8/4/15 9:31:01 AM,C,25.885
8/4/15 10:01:01 AM,C,25.885
8/4/15 10:31:01 AM,C,26.01
8/4/15 11:01:01 AM,C,26.197
8/4/15 11:31:01 AM,C,26.385
8/4/15 12:01:01 PM,C,26.697
8/4/15 12:31:01 PM,C,27.072
8/4/15 1:01:01 PM,C,27.447
8/4/15 1:31:01 PM,C,27.884
8/4/15 2:01:01 PM,C,28.321
8/4/15 2:31:01 PM,C,28.696
8/4/15 3:01:01 PM,C,29.008
8/4/15 3:31:01 PM,C,29.383
8/4/15 4:01:01 PM,C,29.758
8/4/15 4:31:01 PM,C,30.132
8/4/15 5:01:01 PM,C,30.445
8/4/15 5:31:01 PM,C,30.694
8/4/15 6:01:01 PM,C,30.944
8/4/15 6:31:01 PM,C,31.069
8/4/15 7:01:01 PM,C,31.194
8/4/15 7:31:01 PM,C,31.256
8/4/15 8:01:01 PM,C,31.256
8/4/15 8:31:01 PM,C,31.256
8/4/15 9:01:01 PM,C,31.131
8/4/15 9:31:01 PM,C,31.006
8/4/15 10:01:01 PM,C,30.819
8/4/15 10:31:01 PM,C,30.569
8/4/15 11:01:01 PM,C,30.382
8/4/15 11:31:01 PM,C,30.132
8/5/15 12:01:01 AM,C,29.945
8/5/15 12:31:01 AM,C,29.695
8/5/15 1:01:01 AM,C,29.446
8/5/15 1:31:01 AM,C,29.196
8/5/15 2:01:01 AM,C,28.946
8/5/15 2:31:01 AM,C,28.696
8/5/15 3:01:01 AM,C,28.509
8/5/15 3:31:01 AM,C,28.259
8/5/15 4:01:01 AM,C,28.009
8/5/15 4:31:01 AM,C,27.822
8/5/15 5:01:01 AM,C,27.572
8/5/15 5:31:01 AM,C,27.322
8/5/15 6:01:01 AM,C,27.072
8/5/15 6:31:01 AM,C,26.885
8/5/15 7:01:01 AM,C,26.635
8/5/15 7:31:01 AM,C,26.447
8/5/15 8:01:01 AM,C,26.26
8/5/15 8:31:01 AM,C,26.135
8/5/15 9:01:01 AM,C,26.01
8/5/15 9:31:01 AM,C,26.01
8/5/15 10:01:01 AM,C,26.072
8/5/15 10:31:01 AM,C,26.197
8/5/15 11:01:01 AM,C,26.385
8/5/15 11:31:01 AM,C,26.635
8/5/15 12:01:01 PM,C,27.01
8/5/15 12:31:01 PM,C,27.384
8/5/15 1:01:01 PM,C,27.822
8/5/15 1:31:01 PM,C,28.384
8/5/15 2:01:01 PM,C,28.884
8/5/15 2:31:01 PM,C,29.446
8/5/15 3:01:01 PM,C,30.008
8/5/15 3:31:01 PM,C,30.507
8/5/15 4:01:01 PM,C,31.006
8/5/15 4:31:01 PM,C,31.506
8/5/15 5:01:01 PM,C,31.88
8/5/15 5:31:01 PM,C,32.192
8/5/15 6:01:01 PM,C,32.504
8/5/15 6:31:01 PM,C,32.692
8/5/15 7:01:01 PM,C,32.816
8/5/15 7:31:01 PM,C,32.879
8/5/15 8:01:01 PM,C,32.879
8/5/15 8:31:01 PM,C,32.754
8/5/15 9:01:01 PM,C,32.629
8/5/15 9:31:01 PM,C,32.442
8/5/15 10:01:01 PM,C,32.255
8/5/15 10:31:01 PM,C,32.005
8/5/15 11:01:01 PM,C,31.755
8/5/15 11:31:01 PM,C,31.506
8/6/15 12:01:01 AM,C,31.256
8/6/15 12:31:01 AM,C,31.006
8/6/15 1:01:01 AM,C,30.757
8/6/15 1:31:01 AM,C,30.569
8/6/15 2:01:01 AM,C,30.32
8/6/15 2:31:01 AM,C,30.07
8/6/15 3:01:01 AM,C,29.82
8/6/15 3:31:01 AM,C,29.633
8/6/15 4:01:01 AM,C,29.446
8/6/15 4:31:01 AM,C,29.196
8/6/15 5:01:01 AM,C,29.008
8/6/15 5:31:01 AM,C,28.821
8/6/15 6:01:01 AM,C,28.571
8/6/15 6:31:01 AM,C,28.384
8/6/15 7:01:01 AM,C,28.197
8/6/15 7:31:01 AM,C,28.009
8/6/15 8:01:01 AM,C,27.822
8/6/15 8:31:01 AM,C,27.634
8/6/15 9:01:01 AM,C,27.509
8/6/15 9:31:01 AM,C,27.384
8/6/15 10:01:01 AM,C,27.384
8/6/15 10:31:01 AM,C,27.384
8/6/15 11:01:01 AM,C,27.509
8/6/15 11:31:01 AM,C,27.634
8/6/15 12:01:01 PM,C,27.822
8/6/15 12:31:01 PM,C,28.134
8/6/15 1:01:01 PM,C,28.509
8/6/15 1:31:01 PM,C,28.884
8/6/15 2:01:01 PM,C,29.321
8/6/15 2:31:01 PM,C,29.758
8/6/15 3:01:01 PM,C,30.195
8/6/15 3:31:01 PM,C,30.569
8/6/15 4:01:01 PM,C,30.944
8/6/15 4:31:01 PM,C,31.319
8/6/15 5:01:01 PM,C,31.693
8/6/15 5:31:01 PM,C,31.943
8/6/15 6:01:01 PM,C,32.192
8/6/15 6:31:01 PM,C,32.442
8/6/15 7:01:01 PM,C,32.567
8/6/15 7:31:01 PM,C,32.629
8/6/15 8:01:01 PM,C,32.567
8/6/15 8:31:01 PM,C,32.504
8/6/15 9:01:01 PM,C,32.317
8/6/15 9:31:01 PM,C,32.067
8/6/15 10:01:01 PM,C,31.818
8/6/15 10:31:01 PM,C,31.568
8/6/15 11:01:01 PM,C,31.256
8/6/15 11:31:01 PM,C,31.006
8/7/15 12:01:01 AM,C,30.694
8/7/15 12:31:01 AM,C,30.382
8/7/15 1:01:01 AM,C,30.07
8/7/15 1:31:01 AM,C,29.758
8/7/15 2:01:01 AM,C,29.446
8/7/15 2:31:01 AM,C,29.196
8/7/15 3:01:01 AM,C,28.884
8/7/15 3:31:01 AM,C,28.571
8/7/15 4:01:01 AM,C,28.321
8/7/15 4:31:01 AM,C,28.009
8/7/15 5:01:01 AM,C,27.697
8/7/15 5:31:01 AM,C,27.447
8/7/15 6:01:01 AM,C,27.135
8/7/15 6:31:01 AM,C,26.885
8/7/15 7:01:01 AM,C,26.635
8/7/15 7:31:01 AM,C,26.385
8/7/15 8:01:01 AM,C,26.197
8/7/15 8:31:01 AM,C,25.947
8/7/15 9:01:01 AM,C,25.822
8/7/15 9:31:01 AM,C,25.822
8/7/15 10:01:01 AM,C,25.822
8/7/15 10:31:01 AM,C,25.885
8/7/15 11:01:01 AM,C,26.072
8/7/15 11:31:01 AM,C,26.322
8/7/15 12:01:01 PM,C,26.697
8/7/15 12:31:01 PM,C,27.072
8/7/15 1:01:01 PM,C,27.572
8/7/15 1:31:01 PM,C,28.072
8/7/15 2:01:01 PM,C,28.634
8/7/15 2:31:01 PM,C,29.196
8/7/15 3:01:01 PM,C,29.82
8/7/15 3:31:01 PM,C,30.382
8/7/15 4:01:01 PM,C,30.944
8/7/15 4:31:01 PM,C,31.443
8/7/15 5:01:01 PM,C,31.943
8/7/15 5:31:01 PM,C,32.38
8/7/15 6:01:01 PM,C,32.754
8/7/15 6:31:01 PM,C,33.066
8/7/15 7:01:01 PM,C,33.315
8/7/15 7:31:01 PM,C,33.44
8/7/15 8:01:01 PM,C,33.503
8/7/15 8:31:01 PM,C,33.44
8/7/15 9:01:01 PM,C,33.315
8/7/15 9:31:01 PM,C,33.191
8/7/15 10:01:01 PM,C,32.941
8/7/15 10:31:01 PM,C,32.692
8/7/15 11:01:01 PM,C,32.442
8/7/15 11:31:01 PM,C,32.13
8/8/15 12:01:01 AM,C,31.818
8/8/15 12:31:01 AM,C,31.568
8/8/15 1:01:01 AM,C,31.256
8/8/15 1:31:01 AM,C,30.944
8/8/15 2:01:01 AM,C,30.694
8/8/15 2:31:01 AM,C,30.382
8/8/15 3:01:01 AM,C,30.132
8/8/15 3:31:01 AM,C,29.82
8/8/15 4:01:01 AM,C,29.57
8/8/15 4:31:01 AM,C,29.321
8/8/15 5:01:01 AM,C,29.071
8/8/15 5:31:01 AM,C,28.821
8/8/15 6:01:01 AM,C,28.571
8/8/15 6:31:01 AM,C,28.321
8/8/15 7:01:01 AM,C,28.134
8/8/15 7:31:01 AM,C,27.947
8/8/15 8:01:01 AM,C,27.759
8/8/15 8:31:01 AM,C,27.634
8/8/15 9:01:01 AM,C,27.509
8/8/15 9:31:01 AM,C,27.447
8/8/15 10:01:01 AM,C,27.447
8/8/15 10:31:01 AM,C,27.509
8/8/15 11:01:01 AM,C,27.572
8/8/15 11:31:01 AM,C,27.697
8/8/15 12:01:01 PM,C,27.884
8/8/15 12:31:01 PM,C,28.072
8/8/15 1:01:01 PM,C,28.321
8/8/15 1:31:01 PM,C,28.634
8/8/15 2:01:01 PM,C,28.946
8/8/15 2:31:01 PM,C,29.258
8/8/15 3:01:01 PM,C,29.633
8/8/15 3:31:01 PM,C,29.945
8/8/15 4:01:01 PM,C,30.257
8/8/15 4:31:01 PM,C,30.569
8/8/15 5:01:01 PM,C,30.819
8/8/15 5:31:01 PM,C,31.006
8/8/15 6:01:01 PM,C,31.194
8/8/15 6:31:01 PM,C,31.256
8/8/15 7:01:01 PM,C,31.319
8/8/15 7:31:01 PM,C,31.319
8/8/15 8:01:01 PM,C,31.319
8/8/15 8:31:01 PM,C,31.319
8/8/15 9:01:01 PM,C,31.194
8/8/15 9:31:01 PM,C,31.069
8/8/15 10:01:01 PM,C,30.944
8/8/15 10:31:01 PM,C,30.757
8/8/15 11:01:01 PM,C,30.569
8/8/15 11:31:01 PM,C,30.382
8/9/15 12:01:01 AM,C,30.195
8/9/15 12:31:01 AM,C,29.945
8/9/15 1:01:01 AM,C,29.758
8/9/15 1:31:01 AM,C,29.633
8/9/15 2:01:01 AM,C,29.446
8/9/15 2:31:01 AM,C,29.258
8/9/15 3:01:01 AM,C,29.071
8/9/15 3:31:01 AM,C,28.884
8/9/15 4:01:01 AM,C,28.696
8/9/15 4:31:01 AM,C,28.509
8/9/15 5:01:01 AM,C,28.384
8/9/15 5:31:01 AM,C,28.197
8/9/15 6:01:01 AM,C,28.072
8/9/15 6:31:01 AM,C,27.947
8/9/15 7:01:01 AM,C,27.822
8/9/15 7:31:01 AM,C,27.759
8/9/15 8:01:01 AM,C,27.634
8/9/15 8:31:01 AM,C,27.509
8/9/15 9:01:01 AM,C,27.384
8/9/15 9:31:01 AM,C,27.322
8/9/15 10:01:01 AM,C,27.259
8/9/15 10:31:01 AM,C,27.135
8/9/15 11:01:01 AM,C,27.072
8/9/15 11:31:01 AM,C,27.01
8/9/15 12:01:01 PM,C,26.885
8/9/15 12:31:01 PM,C,26.885
8/9/15 1:01:01 PM,C,26.822
8/9/15 1:31:01 PM,C,26.76
8/9/15 2:01:01 PM,C,26.697
8/9/15 2:31:01 PM,C,26.697
8/9/15 3:01:01 PM,C,26.697
8/9/15 3:31:01 PM,C,26.76
8/9/15 4:01:01 PM,C,26.885
8/9/15 4:31:01 PM,C,27.135
8/9/15 5:01:01 PM,C,27.509
8/9/15 5:31:01 PM,C,27.822
8/9/15 6:01:01 PM,C,28.134
8/9/15 6:31:01 PM,C,28.446
8/9/15 7:01:01 PM,C,28.634
8/9/15 7:31:01 PM,C,28.759
8/9/15 8:01:01 PM,C,28.821
8/9/15 8:31:01 PM,C,28.821
8/9/15 9:01:01 PM,C,28.821
8/9/15 9:31:01 PM,C,28.759
8/9/15 10:01:01 PM,C,28.696
8/9/15 10:31:01 PM,C,28.634
8/9/15 11:01:01 PM,C,28.571
8/9/15 11:31:01 PM,C,28.446
8/10/15 12:01:01 AM,C,28.384
8/10/15 12:31:01 AM,C,28.259
8/10/15 1:01:01 AM,C,28.134
8/10/15 1:31:01 AM,C,28.009
8/10/15 2:01:01 AM,C,27.884
8/10/15 2:31:01 AM,C,27.759
8/10/15 3:01:01 AM,C,27.634
8/10/15 3:31:01 AM,C,27.509
8/10/15 4:01:01 AM,C,27.384
8/10/15 4:31:01 AM,C,27.259
8/10/15 5:01:01 AM,C,27.135
8/10/15 5:31:01 AM,C,27.01
8/10/15 6:01:01 AM,C,26.885
8/10/15 6:31:01 AM,C,26.76
8/10/15 7:01:01 AM,C,26.697
8/10/15 7:31:01 AM,C,26.572
8/10/15 8:01:01 AM,C,26.51
8/10/15 8:31:01 AM,C,26.51
8/10/15 9:01:01 AM,C,26.51
8/10/15 9:31:01 AM,C,26.51
8/10/15 10:01:01 AM,C,26.572
8/10/15 10:31:01 AM,C,26.697
8/10/15 11:01:01 AM,C,26.822
8/10/15 11:31:01 AM,C,26.947
8/10/15 12:01:01 PM,C,27.135
8/10/15 12:31:01 PM,C,27.384
8/10/15 1:01:01 PM,C,27.697
8/10/15 1:31:01 PM,C,27.947
8/10/15 2:01:01 PM,C,28.259
8/10/15 2:31:01 PM,C,28.571
8/10/15 3:01:01 PM,C,28.821
8/10/15 3:31:01 PM,C,29.071
8/10/15 4:01:01 PM,C,29.383
8/10/15 4:31:01 PM,C,29.633
8/10/15 5:01:01 PM,C,29.883
8/10/15 5:31:01 PM,C,30.132
8/10/15 6:01:01 PM,C,30.257
8/10/15 6:31:01 PM,C,30.382
8/10/15 7:01:01 PM,C,30.507
8/10/15 7:31:01 PM,C,30.569
8/10/15 8:01:01 PM,C,30.569
8/10/15 8:31:01 PM,C,30.507
8/10/15 9:01:01 PM,C,30.382
8/10/15 9:31:01 PM,C,30.257
8/10/15 10:01:01 PM,C,30.07
8/10/15 10:31:01 PM,C,29.883
8/10/15 11:01:01 PM,C,29.695
8/10/15 11:31:01 PM,C,29.508
8/11/15 12:01:01 AM,C,29.321
8/11/15 12:31:01 AM,C,29.071
8/11/15 1:01:01 AM,C,28.884
8/11/15 1:31:01 AM,C,28.634
8/11/15 2:01:01 AM,C,28.446
8/11/15 2:31:01 AM,C,28.197
8/11/15 3:01:01 AM,C,27.947
8/11/15 3:31:01 AM,C,27.759
8/11/15 4:01:01 AM,C,27.572
8/11/15 4:31:01 AM,C,27.322
8/11/15 5:01:01 AM,C,27.135
8/11/15 5:31:01 AM,C,26.947
8/11/15 6:01:01 AM,C,26.76
8/11/15 6:31:01 AM,C,26.572
8/11/15 7:01:01 AM,C,26.447
8/11/15 7:31:01 AM,C,26.26
8/11/15 8:01:01 AM,C,26.135
8/11/15 8:31:01 AM,C,26.01
8/11/15 9:01:01 AM,C,25.947
8/11/15 9:31:01 AM,C,25.947
8/11/15 10:01:01 AM,C,25.947
8/11/15 10:31:01 AM,C,26.072
8/11/15 11:01:01 AM,C,26.26
8/11/15 11:31:01 AM,C,26.51
8/11/15 12:01:01 PM,C,26.822
8/11/15 12:31:01 PM,C,27.135
8/11/15 1:01:01 PM,C,27.509
8/11/15 1:31:01 PM,C,27.884
8/11/15 2:01:01 PM,C,28.259
8/11/15 2:31:01 PM,C,28.634
8/11/15 3:01:01 PM,C,28.946
8/11/15 3:31:01 PM,C,29.321
8/11/15 4:01:01 PM,C,29.633
8/11/15 4:31:01 PM,C,29.945
8/11/15 5:01:01 PM,C,30.195
8/11/15 5:31:01 PM,C,30.382
8/11/15 6:01:01 PM,C,30.569
8/11/15 6:31:01 PM,C,30.757
8/11/15 7:01:01 PM,C,30.819
8/11/15 7:31:01 PM,C,30.944
8/11/15 8:01:01 PM,C,30.944
8/11/15 8:31:01 PM,C,30.882
8/11/15 9:01:01 PM,C,30.757
8/11/15 9:31:01 PM,C,30.632
8/11/15 10:01:01 PM,C,30.445
8/11/15 10:31:01 PM,C,30.195
8/11/15 11:01:01 PM,C,29.945
8/11/15 11:31:01 PM,C,29.695
8/12/15 12:01:01 AM,C,29.446
8/12/15 12:31:01 AM,C,29.133
8/12/15 1:01:01 AM,C,28.884
8/12/15 1:31:01 AM,C,28.571
8/12/15 2:01:01 AM,C,28.321
8/12/15 2:31:01 AM,C,28.009
8/12/15 3:01:01 AM,C,27.759
8/12/15 3:31:01 AM,C,27.509
8/12/15 4:01:01 AM,C,27.197
8/12/15 4:31:01 AM,C,26.947
8/12/15 5:01:01 AM,C,26.697
8/12/15 5:31:01 AM,C,26.447
8/12/15 6:01:01 AM,C,26.197
8/12/15 6:31:01 AM,C,25.947
8/12/15 7:01:01 AM,C,25.697
8/12/15 7:31:01 AM,C,25.51
8/12/15 8:01:01 AM,C,25.322
8/12/15 8:31:01 AM,C,25.135
8/12/15 9:01:01 AM,C,25.072
8/12/15 9:31:01 AM,C,25.072
8/12/15 10:01:01 AM,C,25.135
8/12/15 10:31:01 AM,C,25.26
8/12/15 11:01:01 AM,C,25.447
8/12/15 11:31:01 AM,C,25.76
8/12/15 12:01:01 PM,C,26.072
8/12/15 12:31:01 PM,C,26.51
8/12/15 1:01:01 PM,C,26.947
8/12/15 1:31:01 PM,C,27.384
8/12/15 2:01:01 PM,C,27.884
8/12/15 2:31:01 PM,C,28.384
8/12/15 3:01:01 PM,C,28.759
8/12/15 3:31:01 PM,C,29.071
8/12/15 4:01:01 PM,C,29.383
8/12/15 4:31:01 PM,C,29.695
8/12/15 5:01:01 PM,C,29.945
8/12/15 5:31:01 PM,C,30.195
8/12/15 6:01:01 PM,C,30.382
8/12/15 6:31:01 PM,C,30.569
8/12/15 7:01:01 PM,C,30.694
8/12/15 7:31:01 PM,C,30.757
8/12/15 8:01:01 PM,C,30.757
8/12/15 8:31:01 PM,C,30.694
8/12/15 9:01:01 PM,C,30.569
8/12/15 9:31:01 PM,C,30.382
8/12/15 10:01:01 PM,C,30.195
8/12/15 10:31:01 PM,C,29.945
8/12/15 11:01:01 PM,C,29.695
8/12/15 11:31:01 PM,C,29.446
8/13/15 12:01:01 AM,C,29.133
8/13/15 12:31:01 AM,C,28.884
8/13/15 1:01:01 AM,C,28.571
8/13/15 1:31:01 AM,C,28.321
8/13/15 2:01:01 AM,C,28.072
8/13/15 2:31:01 AM,C,27.759
8/13/15 3:01:01 AM,C,27.509
8/13/15 3:31:01 AM,C,27.197
8/13/15 4:01:01 AM,C,26.947
8/13/15 4:31:01 AM,C,26.697
8/13/15 5:01:01 AM,C,26.447
8/13/15 5:31:01 AM,C,26.197
8/13/15 6:01:01 AM,C,25.947
8/13/15 6:31:01 AM,C,25.697
8/13/15 7:01:01 AM,C,25.51
8/13/15 7:31:01 AM,C,25.26
8/13/15 8:01:01 AM,C,25.072
8/13/15 8:31:01 AM,C,24.885
8/13/15 9:01:01 AM,C,24.822
8/13/15 9:31:01 AM,C,24.76
8/13/15 10:01:01 AM,C,24.822
8/13/15 10:31:01 AM,C,24.947
8/13/15 11:01:01 AM,C,25.135
8/13/15 11:31:01 AM,C,25.447
8/13/15 12:01:01 PM,C,25.822
8/13/15 12:31:01 PM,C,26.197
8/13/15 1:01:01 PM,C,26.635
8/13/15 1:31:01 PM,C,27.135
8/13/15 2:01:01 PM,C,27.634
8/13/15 2:31:01 PM,C,28.197
8/13/15 3:01:01 PM,C,28.759
8/13/15 3:31:01 PM,C,29.258
8/13/15 4:01:01 PM,C,29.633
8/13/15 4:31:01 PM,C,30.07
8/13/15 5:01:01 PM,C,30.507
8/13/15 5:31:01 PM,C,30.819
8/13/15 6:01:01 PM,C,31.131
8/13/15 6:31:01 PM,C,31.443
8/13/15 7:01:01 PM,C,31.631
8/13/15 7:31:01 PM,C,31.755
8/13/15 8:01:01 PM,C,31.818
8/13/15 8:31:01 PM,C,31.755
8/13/15 9:01:01 PM,C,31.693
8/13/15 9:31:01 PM,C,31.506
8/13/15 10:01:01 PM,C,31.381
8/13/15 10:31:01 PM,C,31.131
8/13/15 11:01:01 PM,C,30.882
8/13/15 11:31:01 PM,C,30.694
8/14/15 12:01:01 AM,C,30.445
8/14/15 12:31:01 AM,C,30.195
8/14/15 1:01:01 AM,C,29.945
8/14/15 1:31:01 AM,C,29.695
8/14/15 2:01:01 AM,C,29.446
8/14/15 2:31:01 AM,C,29.196
8/14/15 3:01:01 AM,C,28.946
8/14/15 3:31:01 AM,C,28.696
8/14/15 4:01:01 AM,C,28.509
8/14/15 4:31:01 AM,C,28.259
8/14/15 5:01:01 AM,C,28.072
8/14/15 5:31:01 AM,C,27.884
8/14/15 6:01:01 AM,C,27.634
8/14/15 6:31:01 AM,C,27.447
8/14/15 7:01:01 AM,C,27.259
8/14/15 7:31:01 AM,C,27.072
8/14/15 8:01:01 AM,C,26.885
8/14/15 8:31:01 AM,C,26.76
8/14/15 9:01:01 AM,C,26.697
8/14/15 9:31:01 AM,C,26.697
8/14/15 10:01:01 AM,C,26.697
8/14/15 10:31:01 AM,C,26.76
8/14/15 11:01:01 AM,C,26.885
8/14/15 11:31:01 AM,C,27.072
8/14/15 12:01:01 PM,C,27.384
8/14/15 12:31:01 PM,C,27.697
8/14/15 1:01:01 PM,C,28.072
8/14/15 1:31:01 PM,C,28.509
8/14/15 2:01:01 PM,C,28.946
8/14/15 2:31:01 PM,C,29.383
8/14/15 3:01:01 PM,C,29.82
8/14/15 3:31:01 PM,C,30.132
8/14/15 4:01:01 PM,C,30.507
8/14/15 4:31:01 PM,C,30.757
8/14/15 5:01:01 PM,C,30.944
8/14/15 5:31:01 PM,C,31.131
8/14/15 6:01:01 PM,C,31.319
8/14/15 6:31:01 PM,C,31.443
8/14/15 7:01:01 PM,C,31.631
8/14/15 7:31:01 PM,C,31.693
8/14/15 8:01:01 PM,C,31.755
8/14/15 8:31:01 PM,C,31.755
8/14/15 9:01:01 PM,C,31.693
8/14/15 9:31:01 PM,C,31.568
8/14/15 10:01:01 PM,C,31.381
8/14/15 10:31:01 PM,C,31.256
8/14/15 11:01:01 PM,C,31.069
8/14/15 11:31:01 PM,C,30.882
8/15/15 12:01:01 AM,C,30.632
8/15/15 12:31:01 AM,C,30.445
8/15/15 1:01:01 AM,C,30.257
8/15/15 1:31:01 AM,C,30.07
8/15/15 2:01:01 AM,C,29.883
8/15/15 2:31:01 AM,C,29.633
8/15/15 3:01:01 AM,C,29.446
8/15/15 3:31:01 AM,C,29.258
8/15/15 4:01:01 AM,C,29.071
8/15/15 4:31:01 AM,C,28.884
8/15/15 5:01:01 AM,C,28.634
8/15/15 5:31:01 AM,C,28.446
8/15/15 6:01:01 AM,C,28.259
8/15/15 6:31:01 AM,C,28.009
8/15/15 7:01:01 AM,C,27.822
8/15/15 7:31:01 AM,C,27.634
8/15/15 8:01:01 AM,C,27.447
8/15/15 8:31:01 AM,C,27.322
8/15/15 9:01:01 AM,C,27.197
